dateid	type	money_type	category	amount
20141213	1	2	4	7772600
20141213	1	2	8	8628100
20141213	1	2	13	3531500
20141213	2	1	-22	323600
20141213	2	1	-21	5189699
20141213	2	1	-18	157202500
20141213	2	1	-7	841000
20141213	2	1	-6	51810000
20141213	2	1	-1	228466200
20141213	2	2	-14	8373900
20141214	1	1	1	188861553
20141214	1	1	20	3083440
20141214	1	1	29	19467000
20141214	1	1	37	93833500
20141214	1	1	47	10774000
20141214	1	1	54	1015000
20141214	1	1	60	82564000
20141214	1	1	64	7325000
20141214	1	1	65	180000
20141214	1	1	66	104723000
20141214	1	1	67	11850000
20141214	1	1	70	20090000
20141214	1	1	71	2363000
20141214	1	2	4	7928400
20141214	1	2	8	8669500
20141214	1	2	13	3404500
20141214	2	1	-22	295000
20141214	2	1	-21	5299736
20141214	2	1	-18	156930000
20141214	2	1	-7	810000
20141214	2	1	-6	52475000
20141214	2	1	-1	221437500
20141214	2	2	-14	8569000
20141215	1	1	1	161284887
20141215	1	1	20	2881216
20141215	1	1	29	15994100
20141215	1	1	37	80692000
20141215	1	1	47	9894000
20141215	1	1	54	1018000
20141215	1	1	60	68601500
20141215	1	1	64	5605000
20141215	1	1	65	130000
20141215	1	1	66	79097000
20141215	1	1	67	6580000
20141215	1	1	70	14310000
20141215	1	1	71	2364000
20141215	1	2	4	7107200
20141215	1	2	8	8192100
20141215	1	2	13	3343000
20141215	2	1	-22	256200
20141215	2	1	-21	4559925
20141215	2	1	-18	134857500
20141215	2	1	-7	645000
20141215	2	1	-6	45485000
20141215	2	1	-1	181476900
20141215	2	2	-14	8390700
20141216	1	1	1	160121345
20141216	1	1	20	3008904
20141216	1	1	29	15775100
20141216	1	1	37	76598000
20141216	1	1	45	1000
20141216	1	1	47	9598000
20141216	1	1	54	1040500
20141216	1	1	60	68183500
20141216	1	1	64	5555000
20141216	1	1	65	120000
20141216	1	1	66	77732000
20141216	1	1	67	6080000
20141216	1	1	70	15070000
20141216	1	1	71	1742000
20141216	1	2	4	7214000
20141216	1	2	8	8217900
20141216	1	2	13	3512000
20141216	2	1	-22	366300
20141216	2	1	-21	4807448
20141216	2	1	-18	132512500
20141216	2	1	-7	643000
20141216	2	1	-6	41975000
20141216	2	1	-1	178467400
20141216	2	2	-14	9021800
20141217	1	1	1	153565348
20141217	1	1	20	3370968
20141217	1	1	29	15246500
20141217	1	1	37	83943500
20141217	1	1	47	9722000
20141217	1	1	54	1038000
20141217	1	1	60	65874000
20141217	1	1	64	4665000
20141217	1	1	65	80000
20141217	1	1	66	72135000
20141217	1	1	67	5210000
20141217	1	1	70	12690000
20141217	1	1	71	1710000
